web-scraper-order,web-scraper-start-url,games-href,title,platform,descriptors,rating
1669320680-9689,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22334/slots-featuring-wms-gaming/,Slots Featuring WMS Gaming,"Macintosh, Windows PC",Simulated Gambling,Teen
1669320683-9690,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22308/city-life-world-edition/,City Life: World Edition,Windows PC,"Alcohol Reference, Mild Violence",Everyone
1669320685-9691,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22278/911-first-responders/,911: First Responders,Windows PC,"Blood, Drug Reference, Violence",Teen
1669320688-9692,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22392/driver-parallel-lines/,Driver: Parallel Lines,"Windows PC, Wii","Blood, Drug Reference, Intense Violence, Partial Nudity, Sexual Themes, Strong Language",Mature 17+
1669320690-9693,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22394/the-elder-scrolls-iv-shivering-isles/,The Elder Scrolls IV: Shivering Isles,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Language, Sexual Themes, Use of Alcohol, Violence",Mature 17+
1669320693-9694,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22373/the-sims-life-stories/,The Sims Life Stories,"Macintosh, Online, Windows PC","Crude Humor, Sexual Themes, Violence",Teen
1669320695-9695,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22400/spongebob-diner-dash/,SpongeBob Diner Dash,Windows PC,No Descriptors,Everyone
1669320698-9696,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22346/gurumin-a-monstrous-adventure/,Gurumin: A Monstrous Adventure,"Windows PC, PSP","Mild Fantasy Violence, Mild Suggestive Themes, Tobacco Reference",Everyone 10+
1669320701-9697,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22344/vanguard-saga-of-heroes/,Vanguard: Saga of Heroes,Windows PC,"Blood and Gore, Partial Nudity, Use of Alcohol, Violence",Teen
1669320703-9698,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/22376/hoyle-south-beach-solitaire/,Hoyle South Beach Solitaire,Windows PC,No Descriptors,Everyone
