title,platform,genre,rating
Touhou Kobuto V: Burst Battle,"Windows PC, PlayStation 4","Fantasy Violence, Mild Suggestive Themes",Teen
Space Hulk: Deathwing - Enhanced Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence",Mature 17+
Blackguards 2,"PlayStation 4, Xbox One","Blood and Gore, Strong Language, Violence",Mature 17+
Rad Rodgers,"Windows PC, PlayStation 4, Xbox One","Blood, Mild Sexual Themes, Strong Language, Violence",Mature 17+
RAID: WORLD WAR II,"PlayStation 4, Xbox One","Blood and Gore, Strong Language, Violence",Mature 17+
Pokkén Tournament DX,Nintendo Switch,Fantasy Violence,Everyone 10+
Danganronpa V3: Killing Harmony,"Windows PC, PlayStation 4","Blood, Drug Reference, Intense Violence, Partial Nudity, Sexual Themes, Strong Language",Mature 17+
FIFA 18,Nintendo Switch,No Descriptors,Everyone
Cartoon Network: Battle Crashers,Nintendo Switch,Cartoon Violence,Everyone 10+
Deer Hunter: Reloaded,"Windows PC, PlayStation 4, Xbox One","Blood, Violence",Teen
Hidden Agenda,PlayStation 4,"Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
ECHO,PlayStation 4,"Violence, Blood, Language",Mature 17+
Batman - The Telltale Series,Nintendo Switch,"Blood and Gore, Language, Sexual Themes, Violence",Mature 17+
LEGO Marvel Super Heroes 2,"Windows PC, PlayStation 4, Xbox One",Cartoon Violence,Everyone 10+
Yomawari: Midnight Shadows,"Windows PC, PlayStation 4","Blood and Gore, Violence",Mature 17+
Bravo Team,PlayStation 4,"Blood, Violence",Teen
Sonic Forces,"Windows PC, PlayStation 4, Xbox One",Fantasy Violence,Everyone 10+
Nioh: Complete Edition,Windows PC,"Blood and Gore, Violence",Mature 17+
L.A. Noire,Nintendo Switch,"Blood and Gore, Nudity, Sexual Themes, Strong Language, Use of Drugs, Violence",Mature 17+
Rock Boshers DX: Director's Cut,PlayStation 4,"Fantasy Violence, Mild Blood",Everyone 10+
911 Operator,"PlayStation 4, Xbox One","Violent References, Sexual Themes, Drug Reference, Language",Teen
Need for Speed™ Payback,"Windows PC, PlayStation 4, Xbox One","Language, Mild Suggestive Themes, Mild Violence",Teen
DOOM,Nintendo Switch,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
Chaos on Deponia,"Macintosh, Windows PC, PlayStation 4, Xbox One","Cartoon Violence, Crude Humor, Language, Suggestive Themes, Use of Tobacco",Teen
Tokyo Tattoo Girls,"Windows PC, PS Vita","Mild Blood, Mild Fantasy Violence, Mild Language, Sexual Themes, Simulated Gambling, Use of Alcohol",Teen
Akuatica: Turtle Racing,Xbox One,"Fantasy Violence, Mild Blood",Everyone 10+
PLAYERUNKNOWN'S BATTLEGROUNDS,Xbox One,"Blood, Violence",Teen
School Girl/Zombie Hunter,PlayStation 4,"Blood and Gore, Language, Partial Nudity, Suggestive Themes, Violence",Mature 17+
Bayonetta,Nintendo Switch,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",Mature 17+
Digimon Story: Cyber Sleuth - Hacker's Memory,PlayStation 4,"Blood, Crude Humor, Fantasy Violence, Language, Suggestive Themes",Teen
Shooty Fruity,PlayStation 4,"Fantasy Violence, Comic Mischief",Everyone 10+
Ni no Kuni II: REVENANT KINGDOM,"Windows PC, PlayStation 4","Fantasy Violence, Mild Blood",Teen
Owlboy,"Nintendo Switch, PlayStation 4, Windows PC, Xbox One","Fantasy Violence, Mild Blood, Alcohol Reference",Everyone 10+
Scribblenauts Showdown,"PlayStation 4, Xbox One","Cartoon Violence, Crude Humor",Everyone 10+
Mercenary Kings,"PS Vita, Nintendo Switch","Blood and Gore, Comic Mischief, Mild Suggestive Themes, Use of Tobacco, Violence",Teen
Extinction,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
Atelier Lydie and Suelle: The Alchemists and the Mysterious Paintings,"Windows PC, PlayStation 4","Fantasy Violence, Mild Suggestive Themes, Use of Alcohol",Teen
Nightmares from the Deep 3: Davy Jones,"PlayStation 4, Xbox One",Violence,Teen
Inception VR,PlayStation 4,Partial Nudity,Mature 17+
Dandara,"PlayStation 4, Xbox One","Fantasy Violence, Language",Everyone 10+
Puyo Puyo™ Tetris®,Windows PC,"Comic Mischief, Mild Suggestive Themes",Everyone 10+
Tom Clancy's Rainbow Six Siege: Advanced Edition,"PlayStation 4, Xbox One","Blood, Drug Reference, Strong Language, Violence",Mature 17+
The Witch and the Hundred Knight 2,"Windows PC, PlayStation 4","Blood, Language, Sexual Themes, Violence",Teen
Hunting Simulator,Nintendo Switch,"Blood, Violence",Teen
Deadbolt,"PlayStation 4, PS Vita","Violence, Blood and Gore, Sexual Themes, Drug Reference, Language",Teen
Timothy vs the Aliens,PlayStation 4,"Violence, Blood",Teen
Shining Resonance Refrain,"Windows PC, PlayStation 4, Xbox One","Fantasy Violence, Language, Partial Nudity, Suggestive Themes, Use of Alcohol",Teen
Crash Bandicoot (TM) N. Sane Trilogy,Nintendo Switch,"Cartoon Violence, Comic Mischief",Everyone 10+
The Council - Episode 1 - The Mad Ones,"PlayStation 4, Xbox One","Violence, Blood, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
Cruz Brothers,PlayStation 4,"Violence, Blood, Strong Language",Mature 17+
Runbow,Nintendo Switch,Mild Cartoon Violence,Everyone
Far Cry 3 Classic Edition,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs",Mature 17+
Kirby Star Allies,Nintendo Switch,Cartoon Violence,Everyone 10+
Kill The Bad Guy,PlayStation 4,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Mature 17+
Earthfall,"Windows PC, PlayStation 4, Xbox One","Blood, Mild Language, Violence",Teen
Sea of Thieves,"Windows PC, Xbox One","Crude Humor, Use of Alcohol, Violence",Teen
"Warhammer 40,000: Inquisitor - Martyr","PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
1001 Spikes,"PS Vita, Nintendo Switch","Blood, Fantasy Violence",Teen
Little Nightmares™ Complete Edition,Nintendo Switch,"Blood, Violence",Teen
BlazBlue: Cross Tag Battle,Nintendo Switch,"Language, Suggestive Themes, Violence",Teen
Moonlighter,"Windows PC, PlayStation 4, Stadia",Fantasy Violence,Everyone 10+
The Adventure Pals,"PlayStation 4, Xbox One","Fantasy Violence, Crude Humor",Everyone 10+
Pillars of Eternity II: Deadfire,"Linux, Macintosh, Windows PC, PlayStation 4, Xbox One","Blood and Gore, Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Dead Ahead: Zombie Warfare,"PlayStation 4, PS Vita, Xbox One","Violence, Blood",Teen
RICK AND MORTY: VIRTUAL RICK-ALITY,PlayStation 4,"Fantasy Violence, Drug Reference, Strong Language, Crude Humor",Mature 17+
Dusty Raging Fist,PlayStation 4,"Violence, Blood",Teen
The Elder Scrolls Online: Summerset,"Macintosh, Windows PC, PlayStation 4, Xbox One","Blood and Gore, Sexual Themes, Use of Alcohol, Violence",Mature 17+
Emily Wants to Play Too,PlayStation 4,Mild Violence,Teen
Chuusotsu! 1st Graduation: Time After Time,Windows PC,"Sexual Themes, Strong Language",Mature 17+
Hello Neighbor,"Stadia, Nintendo Switch",Mild Violence,Everyone 10+
Hitman: Definitive Edition,"PlayStation 4, Xbox One","Blood, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
Dragon's Crown Pro,PlayStation 4,"Blood and Gore, Partial Nudity, Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
Conan Exiles,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Language, Nudity, Use of Alcohol",Mature 17+
H1Z1: Battle Royale,PlayStation 4,"Violence, Blood",Teen
Sudden Strike 4: European Battlefields Edition,Xbox One,"Blood, Language, Mild Sexual Themes, Violence",Teen
Personality and Psychology Premium,PlayStation 4,"Sexual Themes, Use of Drugs",Mature 17+
Fallout Shelter,PlayStation 4,"Mild Violence, Suggestive Themes, Alcohol Reference",Teen
Penguin Wars,"Windows PC, PlayStation 4, Xbox One",Mild Cartoon Violence,Everyone
The Long Dark,"PlayStation 4, Xbox One","Blood, Language, Violence",Teen
Flashback,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Fantasy Violence,Everyone 10+
NieR: Automata BECOME AS GODS EDITION,"Windows PC, Xbox One","Blood, Partial Nudity, Strong Language, Violence",Mature 17+
LEGO The Incredibles,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Cartoon Violence, Crude Humor",Everyone 10+
FIGHTING EX LAYER,PlayStation 4,Violence,Teen
Monster Hunter Generations Ultimate,Nintendo Switch,"Blood, Crude Humor, Mild Suggestive Themes, Violence",Teen
Night Trap - 25th Anniversary Edition,"PlayStation 4, PlayStation 5, PS Vita, Nintendo Switch","Blood, Suggestive Themes, Violence",Teen
V-Rally 4,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",No Descriptors,Everyone
MOTHERGUNSHIP,"Windows PC, PlayStation 4, Xbox One",Fantasy Violence,Teen
Black Clover: Quartet Knights,"Windows PC, PlayStation 4","Language, Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
The Banner Saga Trilogy,Nintendo Switch,"Alcohol Reference, Blood and Gore, Language, Violence",Teen
1979 Revolution: Black Friday,"PlayStation 4, Xbox One","Intense Violence, Blood, Language",Mature 17+
The Awesome Adventures of Captain Spirit,PlayStation 4,"Suggestive Themes, Strong Language, Use of Alcohol",Mature 17+
Mega Man X Legacy Collection 2,Nintendo Switch,"Cartoon Violence, Mild Suggestive Themes",Teen
Mega Man X Legacy Collection,Nintendo Switch,"Blood, Cartoon Violence, Mild Suggestive Themes",Teen
Fist of the North Star: Lost Paradise,PlayStation 4,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
Flipping Death,"Nintendo Switch, PlayStation 4, Xbox One","Fantasy Violence, Drug Reference, Crude Humor, Use of Alcohol, Mild Suggestive Themes",Teen
Dead Cells,Xbox One,"Violence, Blood and Gore, Language",Teen
We Happy Few: Uncle Jack Live VR,PlayStation 4,"Violence, Blood, Suggestive Themes, Strong Language, Use of Drugs and Alcohol",Mature 17+
ACA NEOGEO METAL SLUG 4,"PlayStation 4, Xbox One","Violence, Blood",Teen
Scribblenauts Unlimited,"PlayStation 4, Nintendo Switch, Xbox One","Cartoon Violence, Comic Mischief",Everyone 10+
TerraTech,"PlayStation 4, Xbox One",Fantasy Violence,Everyone 10+
"Guns, Gore and Cannoli 2",PlayStation 4,"Violence, Blood and Gore, Suggestive Themes, Mild Language",Teen
Rocket League®,Nintendo Switch,Mild Lyrics,Everyone
Guacamelee! 2,PlayStation 4,"Fantasy Violence, Alcohol Reference, Mild Language",Everyone 10+
428: Shibuya Scramble,"Windows PC, PlayStation 4","Blood, Drug Reference, Language, Use of Alcohol and Tobacco, Violence",Teen
Out of the Box,PlayStation 4,"Violence, Blood, Sexual Themes, Drug Reference, Strong Language",Mature 17+
Friday the 13th: The Game Ultimate Slasher Edition,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Partial Nudity, Sexual Content, Strong Language, Use of Drugs",Mature 17+
ACE COMBAT™ 7: SKIES UNKNOWN,"Windows PC, PlayStation 4, Xbox One","Language, Mild Blood, Violence",Teen
Strange Brigade,"Windows PC, PlayStation 4, Xbox One","Animated Blood, Violence",Teen
Taiko no Tatsujin: Drum Session!,PlayStation 4,"Crude Humor, Mild Violence",Everyone 10+
Taiko no Tatsujin: Drum ‘n’ Fun!,Nintendo Switch,No Descriptors,Everyone
GRIP,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Fantasy Violence,Everyone 10+
Valkyria Chronicles 4,"Windows PC, PlayStation 4, Xbox One","Blood, Language, Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
Junior League Sports,Nintendo Switch,No Descriptors,Everyone
Transference,"PlayStation 4, Xbox One","Violence, Blood, Strong Language",Mature 17+
This Is the Police 2,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Intense Violence, Sexual Content, Strong Language, Use of Drugs",Mature 17+
ARK: Survival Evolved,Nintendo Switch,"Blood, Crude Humor, Use of Alcohol, Violence",Teen
Space Hulk: Tactics,"PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
Nickelodeon Kart Racers,"PlayStation 4, Nintendo Switch, Xbox One",Mild Cartoon Violence,Everyone
Late Shift,"PlayStation 4, Nintendo Switch","Blood, Strong Language, Violence",Mature 17+
Goosebumps: The Game,Nintendo Switch,Fantasy Violence,Everyone 10+
Mutant Football League: Dynasty Edition,Nintendo Switch,"Blood and Gore, Drug Reference, Mature Humor, Strong Language, Violence",Mature 17+
Super Mario Party,Nintendo Switch,Mild Cartoon Violence,Everyone
Disgaea 1 Complete,"PlayStation 4, Nintendo Switch","Blood, Fantasy Violence, Mild Language, Suggestive Themes",Teen
Deracine,PlayStation 4,Fantasy Violence,Teen
The MISSING -J.J. MACFIELD AND THE ISLAND OF MEMORIES-,Xbox One,"Violence, Blood and Gore, Strong Language",Mature 17+
Outward,"PlayStation 4, Xbox One","Blood and Gore, Partial Nudity, Violence",Mature 17+
OPUS Collection: The Day We Found Earth + Rocket of Whispers,Nintendo Switch,"Mild Blood, Mild Language, Mild Suggestive Themes, Mild Violence",Teen
Sharknado VR: Eye of the Storm,Windows PC,"Blood and Gore, Violence",Mature 17+
Cabela's: The Hunt - Championship Edition,Nintendo Switch,"Blood, Violence",Teen
The Jackbox Party Pack 5,Xbox One,"Fantasy Violence, Sexual Themes, Drug Reference, Mild Language",Teen
SINNER: Sacrifice for Redemption,PlayStation 4,"Violence, Blood",Mature 17+
Hellblade: Senua's Sacrifice,"Windows PC, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Fade to Silence,"Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
PAW Patrol: On A Roll!,"Nintendo 3DS, Windows PC, PlayStation 4, Nintendo Switch, Xbox One",No Descriptors,Everyone
Pillars of Eternity II: Deadfire,"Linux, Macintosh, Windows PC, PlayStation 4, Xbox One","Blood and Gore, Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
One Piece World Seeker,"Windows PC, PlayStation 4, Xbox One","Cartoon Violence, Suggestive Themes, Use of Tobacco",Teen
Dream Daddy: A Dad Dating Simulator,PlayStation 4,"Sexual Themes, Language, Use of Alcohol and Tobacco",Teen
Sunset Overdrive,Windows PC,"Blood and Gore, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
OVERKILL'S The Walking Dead,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Left Alive,"Windows PC, PlayStation 4","Blood, Intense Violence, Strong Language, Use of Alcohol",Mature 17+
Outlast: Bundle Of Terror,Nintendo Switch,"Blood and Gore, Intense Violence, Nudity, Sexual Content, Strong Language",Mature 17+
Outlast 2,Nintendo Switch,"Blood and Gore, Intense Violence, Nudity, Sexual Content, Strong Language",Mature 17+
WILL: A Wonderful World,"PlayStation 4, Nintendo Switch","Blood, Drug Reference, Strong Language, Suggestive Themes, Violence",Mature 17+
Team Sonic Racing,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Mild Cartoon Violence,Everyone
Youtubers Life,"PlayStation 4, Nintendo Switch, Xbox One","Mild Language, Mild Suggestive Themes",Everyone 10+
West of Loathing,Nintendo Switch,"Crude Humor, Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Drugs",Teen
Layers of Fear: Legacy,Nintendo Switch,"Blood and Gore, Partial Nudity, Strong Language, Violent References",Mature 17+
State of Mind,"Macintosh, Windows PC, PlayStation 4, Xbox One","Blood, Language, Partial Nudity, Sexual Themes, Use of Drugs, Violence",Mature 17+
Wreckfest,"Windows PC, PlayStation 4, Xbox One","Mild Lyrics, Mild Violence",Teen
Subnautica,"PlayStation 4, Xbox One","Fantasy Violence, Mild Language",Everyone 10+
Nelke & the Legendary Alchemists: Ateliers of the New World,"Windows PC, PlayStation 4, Nintendo Switch","Alcohol Reference, Fantasy Violence, Mild Language, Suggestive Themes",Everyone 10+
Saints Row: The Third - The Full Package,Nintendo Switch,"Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Sexual Content, Strong Language",Mature 17+
Persona 4: Dancing All Night,PlayStation 4,"Language, Mild Blood, Mild Violence, Partial Nudity, Suggestive Themes",Teen
SENRAN KAGURA Burst Re:Newal,PlayStation 4,"Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Thronebreaker: The Witcher Tales,Xbox One,"Violence, Blood, Language, Crude Humor",Teen
Hello Neighbor: Hide and Seek,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Mild Violence,Teen
Bloodstained: Curse of the Moon,"PlayStation 4, PS Vita, Nintendo Switch","Blood, Fantasy Violence",Teen
PES 2019 Lite,Windows PC,No Descriptors,Everyone
FINAL FANTASY XV MULTIPLAYER COMRADES,Xbox One,"Language, Suggestive Themes, Violence",Teen
FINAL FANTASY XII THE ZODIAC AGE,Nintendo Switch,"Mild Blood, Suggestive Themes, Violence",Teen
Serious Sam Collection,"PlayStation 4, Stadia, Nintendo Switch, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Strong Language",Mature 17+
Atelier Rorona ~The Alchemist of Arland~ DX,Windows PC,"Fantasy Violence, Language, Sexual Themes, Use of Alcohol",Teen
The Walking Dead: The Final Season,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Atelier Totori ~The Adventurer of Arland~ DX,Windows PC,"Fantasy Violence, Mild Blood, Mild Language, Suggestive Themes, Use of Alcohol",Teen
Atelier Meruru ~The Apprentice of Arland~ DX,Windows PC,"Fantasy Violence, Mild Language, Partial Nudity, Suggestive Themes, Use of Alcohol",Teen
New Super Mario Bros. U Deluxe,Nintendo Switch,Comic Mischief,Everyone
The Legend of Heroes: Trails of Cold Steel,"Windows PC, PlayStation 4","Blood, Language, Mild Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
Call of Duty®: Black Ops 4 - Battle Edition,Windows PC,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
Travis Strikes Again: No More Heroes,Nintendo Switch,"Blood, Drug Reference, Partial Nudity, Strong Language, Violence",Mature 17+
Far Cry New Dawn,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Mild Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
UPPERS,PlayStation 4,"Sexual Themes, Strong Language, Violence",Mature 17+
Jak & Daxter The Precursor Legacy,PlayStation 4,"Fantasy Violence, Mild Suggestive Themes",Everyone 10+
Magic the Gathering: Arena,Windows PC,"Blood and Gore, Mild Fantasy Violence",Teen
The LEGO Movie 2 Videogame,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Cartoon Violence,Everyone 10+
RPG Maker MV,"PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence, Suggestive Themes, Use of Alcohol and Tobacco",Everyone 10+
Dollhouse,PlayStation 4,"Blood, Partial Nudity, Sexual Content, Strong Language, Violence",Mature 17+
DiRT Rally 2.0,"Windows PC, PlayStation 4, Xbox One",No Descriptors,Everyone
Shakedown: Hawaii,"PlayStation 3, PlayStation 4, PS Vita, Nintendo Switch","Drug Reference, Mild Language, Violence",Teen
Assassin's Creed III Remastered,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Blood, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Killing Floor: Incursion,PlayStation 4,"Blood and Gore, Intense Violence, Partial Nudity",Mature 17+
Among the Sleep - Enhanced Edition,"PlayStation 4, Nintendo Switch",Mild Violence,Teen
RICO,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Drug Reference, Strong Language, Violence",Mature 17+
Zanki Zero: Last Beginning,PlayStation 4,"Blood and Gore, Partial Nudity, Sexual Content, Strong Language, Violence",Mature 17+
Seven: The Days Long Gone,PlayStation 4,"Violence, Blood, Sexual Content, Nudity, Strong Language, Use of Drugs",Mature 17+
Resident Evil Origins Collection,Nintendo Switch,"Blood and Gore, Intense Violence, Language",Mature 17+
Atelier Lulua ~The Scion of Arland~,"Windows PC, PlayStation 4, Nintendo Switch","Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Alcohol",Teen
Blood & Truth,PlayStation 4,"Blood, Strong Language, Use of Tobacco, Violence",Mature 17+
Octopath Traveler,Windows PC,"Blood, Fantasy Violence, Mild Language, Suggestive Themes, Use of Alcohol",Teen
Dragon Quest Builders 2,"Windows PC, PlayStation 4","Alcohol Reference, Comic Mischief, Fantasy Violence, Mild Blood, Mild Language, Suggestive Themes",Everyone 10+
Destiny 2,"Windows PC, PlayStation 4, Xbox One","Blood, Language, Violence",Teen
Destiny 2: Forsaken,"Windows PC, PlayStation 4, Xbox One","Blood, Language, Violence",Teen
Starlink: Battle for Atlas,Windows PC,Fantasy Violence,Everyone 10+
Samurai Shodown,"PlayStation 4, Xbox One","Blood and Gore, Partial Nudity, Violence",Mature 17+
The Town of Light,Nintendo Switch,"Blood, Intense Violence, Language, Nudity, Strong Sexual Content",Mature 17+
The Elder Scrolls Online: Elsweyr,"Macintosh, Windows PC, PlayStation 4, Xbox One","Blood and Gore, Sexual Themes, Use of Alcohol, Violence",Mature 17+
The Sinking City,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Suggestive Themes, Violence",Mature 17+
Observation,"Windows PC, PlayStation 4","Blood, Mild Violence, Strong Language",Mature 17+
DEAD OR ALIVE 6: Core Fighters,"Windows PC, PlayStation 4, Xbox One","Blood, Sexual Themes, Violence",Mature 17+
Battle Worlds: Kronos,Nintendo Switch,"Fantasy Violence, Language",Everyone 10+
CONTRA ROGUE CORPS,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Strong Language, Violence",Mature 17+
Contra Anniversary Collection,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence, Mild Blood, Mild Language, Use of Tobacco",Everyone 10+
The Bard's Tale: Remastered and Resnarkled,PlayStation 4,"Blood, Mild Language, Suggestive Themes, Use of Alcohol, Violence",Teen
Beyond: Two Souls,Windows PC,"Blood, Intense Violence, Sexual Content, Strong Language, Use of Drugs and Alcohol",Mature 17+
Detroit: Become Human,Windows PC,"Blood, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
Heavy Rain,Windows PC,"Blood, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Drugs",Mature 17+
Ghostbusters: The Video Game Remastered,"PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence, Mild Blood, Mild Language, Mild Suggestive Themes",Teen
METAL SLUG 3,"PlayStation 4, PS Vita","Blood and Gore, Crude Humor, Violence",Teen
MARIO & SONIC AT THE OLYMPIC GAMES TOKYO 2020,Nintendo Switch,Cartoon Violence,Everyone 10+
Shenmue III,"Windows PC, PlayStation 4","Mild Language, Mild Suggestive Themes, Simulated Gambling, Use of Alcohol and Tobacco, Violence",Teen
The Walking Dead: The Complete First Season,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Fairy Fencer F: Advent Dark Force,Nintendo Switch,"Blood, Fantasy Violence, Language, Partial Nudity, Suggestive Themes, Use of Alcohol",Teen
Bear With Me: The Lost Robots,Windows PC,"Alcohol Reference, Fantasy Violence, Language, Mild Blood, Use of Tobacco",Everyone 10+
Gang Beasts,"PlayStation 4, Xbox One",Cartoon Violence,Everyone 10+
MediEvil,PlayStation 4,"Blood and Gore, Violence",Teen
Dead by Daylight,Nintendo Switch,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
Kentucky Route Zero: TV Edition,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Language, Use of Drugs",Teen
Destiny 2: New Light,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Language, Violence",Teen
Destiny 2: Shadowkeep,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Language, Violence",Teen
Alien: Isolation,Nintendo Switch,"Blood, Strong Language, Violence",Mature 17+
GRIS,"Windows PC, PlayStation 4, Nintendo Switch",No Descriptors,Everyone
Just Dance 2020,"PlayStation 4, Stadia, Nintendo Switch, Wii, Xbox One","Mild Lyrics, Mild Suggestive Themes",Everyone 10+
World of Warcraft Classic,"Macintosh, Windows PC","Blood and Gore, Crude Humor, Mild Language, Suggestive Themes, Use of Alcohol, Violence",Teen
Root Letter: Last Answer,"PlayStation 4, Nintendo Switch","Blood, Strong Language, Suggestive Themes, Violence",Mature 17+
Slay the Spire,"PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence, Mild Blood, Tobacco Reference",Everyone 10+
Red Faction,PlayStation 4,"Blood, Violence",Mature 17+
Ni No Kuni: Wrath of the White Witch Remastered,"Windows PC, PlayStation 4","Alcohol and Tobacco Reference, Fantasy Violence, Mild Language, Simulated Gambling",Everyone 10+
Ni No Kuni: Wrath of the White Witch,Nintendo Switch,"Alcohol and Tobacco Reference, Fantasy Violence, Mild Language, Simulated Gambling",Everyone 10+
Digimon Story Cyber Sleuth: Complete Edition,"Windows PC, Nintendo Switch","Blood, Crude Humor, Fantasy Violence, Language, Suggestive Themes",Teen
NBA 2K20,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One",Mild Language,Everyone
CarX Drift Racing Online,"Windows PC, PlayStation 4, Xbox One",No Descriptors,Everyone
Overwatch: Legendary Edition,Nintendo Switch,"Blood, Use of Tobacco, Violence",Teen
NHL 20,"PlayStation 4, Xbox One",Mild Violence,Everyone 10+
Red Faction: Guerrilla Re-Mars-tered,Nintendo Switch,"Blood, Strong Language, Violence",Mature 17+
Blacksad: Under the Skin,"Macintosh, Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Vampyr,Nintendo Switch,"Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
Divinity: Original Sin 2 - Definitive Edition,Nintendo Switch,"Blood and Gore, Language, Sexual Themes, Violence",Mature 17+
Wattam,"Windows PC, PlayStation 4","Crude Humor, Mild Cartoon Violence",Everyone 10+
Street Outlaws: The List,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Language,Everyone 10+
DORAEMON  STORY OF SEASONS,Windows PC,Comic Mischief,Everyone
Sid Meier's Civilization VI,"PlayStation 4, Xbox One","Drug Reference, Language, Mild Violence, Suggestive Themes",Everyone 10+
Dead by Daylight: Nightmare Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Samurai Shodown,"Stadia, Nintendo Switch","Blood and Gore, Partial Nudity, Violence",Mature 17+
Ring Fit Adventure,Nintendo Switch,Fantasy Violence,Everyone 10+
Beholder 2,PlayStation 4,"Violence, Blood, Sexual Content, Partial Nudity, Drug Reference, Strong Language, Crude Humor",Mature 17+
Battle Princess Madelyn Royal Edition,Nintendo Switch,Fantasy Violence,Everyone 10+
The Vanishing of Ethan Carter,Nintendo Switch,"Blood and Gore, Strong Language, Violence",Mature 17+
Remothered: Tormented Fathers,"PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Strong Language",Mature 17+
NARCOS: Rise of the Cartels,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood, Drug Reference, Strong Language, Violence",Mature 17+
Yakuza 4,PlayStation 4,"Blood, Sexual Themes, Strong Language, Use of Alcohol, Violence",Mature 17+
Golem,PlayStation 4,Violence,Teen
Valfaris,"Windows PC, PlayStation 4, Nintendo Switch","Blood and Gore, Partial Nudity, Violence",Mature 17+
