title,platform,genre,rating
Mega Man 11,"PlayStation 4, Nintendo Switch, Xbox One",Cartoon Violence,Everyone 10+
Shenmue I & II,"Windows PC, PlayStation 4, Xbox One","Language, Mild Suggestive Themes, Simulated Gambling, Use of Alcohol and Tobacco, Violence",Teen
Defiance 2050,PlayStation 4,"Violence, Blood and Gore, Sexual Themes, Strong Language",Mature 17+
Quake Champions,Windows PC,"Blood and Gore, Drug Reference, Language, Violence",Mature 17+
For Honor: Marching Fire Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence",Mature 17+
NBA 2K Playgrounds 2,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",No Descriptors,Everyone
GUNGRAVE VR,PlayStation 4,"Blood, Mild Language, Violence",Teen
Big Buck Hunter Arcade,Nintendo Switch,"Alcohol Reference, Animated Blood, Violence",Teen
Assassin's Creed Rogue Remastered,"PlayStation 4, Stadia, Xbox One","Blood, Strong Language, Violence",Mature 17+
Battlefield V,"Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
Song Of Memories,"PlayStation 4, Nintendo Switch","Blood, Fantasy Violence, Partial Nudity, Sexual Content",Mature 17+
Monstrum,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Strong Language, Violence",Mature 17+
Voyage of the Dead,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Katamari Damacy REROLL,"Windows PC, Nintendo Switch","Alcohol and Tobacco Reference, Mild Fantasy Violence",Everyone
Farming Simulator 19,"Macintosh, Windows PC, PlayStation 4, Xbox One, Xbox Series",No Descriptors,Everyone
Persona 5: Dancing in Starlight,"PlayStation 4, PS Vita","Language, Mild Blood, Suggestive Themes",Teen
JUMP FORCE,"Windows PC, PlayStation 4, Xbox One","Mild Blood, Suggestive Themes, Violence",Teen
Tetris Effect,PlayStation 4,No Descriptors,Everyone
SENRAN KAGURA Burst Re:Newal,Windows PC,"Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Crackdown 3,"Windows PC, Xbox One","Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Bloodstained:  Ritual of the Night,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood, Partial Nudity, Violence",Teen
Evoland Legendary Edition,PlayStation 4,"Fantasy Violence, Mild Language, Use of Alcohol",Everyone 10+
Judgment,"Windows PC, PlayStation 4","Blood, Intense Violence, Partial Nudity, Sexual Content, Strong Language, Use of Alcohol",Mature 17+
PLAYERUNKNOWN'S BATTLEGROUNDS,Windows PC,"Blood, Violence",Teen
Generation Zero,"Windows PC, PlayStation 4, Xbox One","Language, Violence",Teen
The House in Fata Morgana,"PlayStation 4, PS Vita, Nintendo Switch","Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Mature 17+
The Caligula Effect: Overdose,"Windows PC, PlayStation 4, Nintendo Switch","Sexual Themes, Strong Language, Violence",Mature 17+
Moero Chronicle Hyper,Nintendo Switch,"Fantasy Violence, Partial Nudity, Sexual Themes",Mature 17+
Arcade Classics Anniversary Collection,Windows PC,"Blood, Fantasy Violence, Partial Nudity",Teen
Age of Empires II: Definitive Edition,Windows PC,"Mild Blood, Mild Language, Violence",Teen
Five Nights at Freddy's VR: Help Wanted,PlayStation 4,Fantasy Violence,Teen
Dragon's Dogma: Dark Arisen,Nintendo Switch,"Blood and Gore, Partial Nudity, Suggestive Themes, Violence",Mature 17+
For The King,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood, Fantasy Violence",Teen
YU-NO: A girl who chants love at the bound of this world.,"PlayStation 4, Nintendo Switch","Blood, Partial Nudity, Sexual Content, Strong Language, Violence",Mature 17+
Battle Breakers,Windows PC,"Fantasy Violence, Suggestive Themes",Teen
Friday the 13th: The Game Ultimate Slasher Edition,Nintendo Switch,"Blood and Gore, Intense Violence, Partial Nudity, Sexual Content, Strong Language, Use of Drugs",Mature 17+
Super Mario Maker 2,Nintendo Switch,Mild Cartoon Violence,Everyone
Mutant Year Zero: Road to Eden,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Strong Language, Violence",Mature 17+
Baldur's Gate Enhanced Edition,"PlayStation 4, Nintendo Switch, Xbox One","Alcohol Reference, Blood and Gore, Mild Language, Partial Nudity, Suggestive Themes, Use of Tobacco, Violence",Teen
The Witcher 3: Wild Hunt,Nintendo Switch,"Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Alcohol",Mature 17+
A Hat in Time,"PlayStation 4, Nintendo Switch","Blood, Fantasy Violence",Teen
World of Warships: Legends,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series",Violence,Teen
Zombie Army 4: Dead War,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Language",Mature 17+
Children of Morta,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Mild Language, Violence",Teen
Astral Chain,Nintendo Switch,"Drug Reference, Language, Use of Alcohol, Violence",Teen
Forager,"PlayStation 4, Nintendo Switch","Crude Humor, Fantasy Violence, Mild Blood",Everyone 10+
Mega Man Zero/ZX Legacy Collection,"PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence, Mild Blood",Teen
Sayonara Wild Hearts,"Macintosh, Windows PC, PlayStation 4, Nintendo Switch",Fantasy Violence,Everyone 10+
My Friend Pedro,"PlayStation 4, Nintendo Switch","Blood and Gore, Language, Violence",Mature 17+
GRID,"Windows PC, PlayStation 4, Xbox One",No Descriptors,Everyone
The Legend of Zelda: Link's Awakening,Nintendo Switch,Mild Fantasy Violence,Everyone
Spirit Hunter: NG,"PlayStation 4, Nintendo Switch","Blood and Gore, Partial Nudity, Strong Language, Violence",Mature 17+
Duke Nukem 3D: 20th Anniversary World Tour,Nintendo Switch,"Blood and Gore, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs, Violence",Mature 17+
Blasphemous,"PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Nudity, Violence",Mature 17+
Conception PLUS: Maidens of the Twelve Stars,PlayStation 4,"Fantasy Violence, Mild Blood, Partial Nudity, Sexual Themes, Use of Alcohol",Mature 17+
Desperados III,"Linux, Macintosh, Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Suggestive Themes, Violence",Mature 17+
Remnant: From the Ashes,"Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,Windows PC,"Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Alcohol",Teen
Life is Strange 2 Episode 5,Windows PC,"Blood, Drug Reference, Mild Sexual Themes, Strong Language, Use of Tobacco, Violence",Mature 17+
CLANNAD,Nintendo Switch,"Drug Reference, Mild Language, Mild Violence, Suggestive Themes, Use of Alcohol and Tobacco",Teen
